lottery_type,date,draw,main_numbers,supplementary,source
Powerball,2019-02-28,1189,2 4 5 7 11 13 14 ,14 ,ozlotteries.com
Powerball,2019-02-21,1188,3 4 12 16 21 25 27 ,8 ,ozlotteries.com
Powerball,2019-02-14,1187,3 6 10 11 21 23 34 ,5 ,ozlotteries.com
Powerball,2019-02-07,1186,6 11 17 20 22 24 32 ,19 ,ozlotteries.com
Powerball,2019-01-31,1185,10 19 22 28 29 31 34 ,10 ,ozlotteries.com
Powerball,2019-01-24,1184,2 8 17 19 23 29 35 ,3 ,ozlotteries.com
Powerball,2019-01-17,1183,4 11 18 20 22 26 33 ,9 ,ozlotteries.com
Powerball,2019-01-10,1182,3 7 10 24 28 31 34 ,14 ,ozlotteries.com
Powerball,2019-01-03,1181,7 8 11 12 19 25 33 ,13 ,ozlotteries.com
Powerball,2018-12-27,1180,5 7 8 9 17 18 29 ,19 ,ozlotteries.com
Powerball,2018-12-20,1179,5 9 13 19 20 24 32 ,15 ,ozlotteries.com
Powerball,2018-12-13,1178,7 8 15 24 26 28 35 ,13 ,ozlotteries.com
Powerball,2018-12-06,1177,3 5 6 14 20 26 33 ,19 ,ozlotteries.com
Powerball,2018-11-29,1176,3 5 17 20 22 29 33 ,12 ,ozlotteries.com
Powerball,2018-11-22,1175,3 14 17 28 29 33 34 ,17 ,ozlotteries.com
Powerball,2018-11-15,1174,2 7 16 18 23 25 29 ,20 ,ozlotteries.com
Powerball,2018-11-08,1173,12 15 17 23 29 30 35 ,10 ,ozlotteries.com
Powerball,2018-11-01,1172,4 8 11 17 24 30 35 ,3 ,ozlotteries.com
Powerball,2018-10-25,1171,9 11 13 25 26 28 29 ,12 ,ozlotteries.com
Powerball,2018-10-18,1170,7 10 17 25 29 33 35 ,5 ,ozlotteries.com
Powerball,2018-10-11,1169,13 20 21 23 27 30 32 ,13 ,ozlotteries.com
Powerball,2018-10-04,1168,3 11 21 22 24 28 32 ,7 ,ozlotteries.com
Powerball,2018-09-27,1167,5 10 15 19 21 22 30 ,3 ,ozlotteries.com
Powerball,2018-09-20,1166,2 6 8 10 17 20 30 ,8 ,ozlotteries.com
Powerball,2018-09-13,1165,1 2 17 19 22 34 35 ,11 ,ozlotteries.com
Powerball,2018-09-06,1164,7 14 18 21 23 25 27 ,20 ,ozlotteries.com
Powerball,2018-08-30,1163,13 15 19 20 22 28 32 ,20 ,ozlotteries.com
Powerball,2018-08-23,1162,2 6 9 14 18 28 29 ,11 ,ozlotteries.com
