GAME,"DRAW ID","DRAW DATE","MAIN NUMBERS",SUPP
oz_lotto,1276,"Tuesday 31 Jul 2018","7 26 25 40 10 13 1 ","38 31 "
oz_lotto,1275,"Tuesday 24 Jul 2018","38 2 13 40 3 39 22 ","34 7 "
oz_lotto,1274,"Tuesday 17 Jul 2018","19 17 38 20 28 11 42 ","27 35 "
oz_lotto,1273,"Tuesday 10 Jul 2018","37 13 10 1 40 3 44 ","41 6 "
oz_lotto,1272,"Tuesday 03 Jul 2018","27 23 18 10 4 9 16 ","41 35 "
oz_lotto,1271,"Tuesday 26 Jun 2018","14 36 32 11 10 34 22 ","30 2 "
oz_lotto,1270,"Tuesday 19 Jun 2018","20 18 26 35 10 22 16 ","25 34 "
oz_lotto,1269,"Tuesday 12 Jun 2018","22 2 31 38 12 7 45 ","11 29 "
oz_lotto,1268,"Tuesday 05 Jun 2018","11 30 45 18 33 37 23 ","6 3 "
oz_lotto,1267,"Tuesday 29 May 2018","13 21 44 1 8 12 9 ","38 10 "
oz_lotto,1266,"Tuesday 22 May 2018","2 13 39 45 19 12 31 ","24 41 "
oz_lotto,1265,"Tuesday 15 May 2018","41 3 12 13 6 40 29 ","4 39 "
oz_lotto,1264,"Tuesday 08 May 2018","41 45 27 31 29 9 43 ","16 6 "
oz_lotto,1263,"Tuesday 01 May 2018","15 11 9 19 27 8 36 ","5 29 "
oz_lotto,1262,"Tuesday 24 Apr 2018","7 45 39 4 16 27 29 ","40 24 "
oz_lotto,1261,"Tuesday 17 Apr 2018","43 20 7 27 36 11 23 ","18 26 "
oz_lotto,1260,"Tuesday 10 Apr 2018","31 25 3 23 17 40 15 ","16 26 "
oz_lotto,1259,"Tuesday 03 Apr 2018","2 42 37 24 13 26 36 ","44 14 "
oz_lotto,1258,"Tuesday 27 Mar 2018","29 19 38 22 3 5 27 ","41 35 "
oz_lotto,1257,"Tuesday 20 Mar 2018","4 16 34 8 32 11 13 ","29 20 "
oz_lotto,1256,"Tuesday 13 Mar 2018","18 23 5 29 35 25 39 ","15 21 "
